,Team,Player,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Season,Type
9,Philadelphia Eagles,Brian Dawkins,2,27,13.50,27,27,0,66,29,95,3.0,2002,Defense
10,Philadelphia Eagles,Dameane Douglas,0,0,0.00,0,0,0,9,1,10,0.0,2002,Defense
11,Philadelphia Eagles,Hugh Douglas,0,0,0.00,0,0,0,45,8,53,12.5,2002,Defense
12,Philadelphia Eagles,Carlos Emmons,0,0,0.00,0,0,0,51,9,60,3.5,2002,Defense
13,Philadelphia Eagles,Justin Ena,0,0,0.00,0,0,0,4,2,6,0.0,2002,Defense
14,Philadelphia Eagles,A.J. Feeley,0,0,0.00,0,0,0,1,0,1,0.0,2002,Defense
15,Philadelphia Eagles,Hank Fraley,0,0,0.00,0,0,0,3,0,3,0.0,2002,Defense
16,Philadelphia Eagles,Antonio Freeman,0,0,0.00,0,0,0,1,0,1,0.0,2002,Defense
17,Philadelphia Eagles,Barry Gardner,0,0,0.00,0,0,0,29,10,39,1.0,2002,Defense
18,Philadelphia Eagles,Paul Grasmanis,0,0,0.00,0,0,0,20,11,31,4.0,2002,Defense
19,Philadelphia Eagles,Al Harris,1,0,0.00,0,0,0,22,2,24,0.0,2002,Defense
20,Philadelphia Eagles,Julian Jones,0,0,0.00,0,0,0,2,0,2,0.0,2002,Defense
21,Philadelphia Eagles,Ndukwe Kalu,0,0,0.00,0,0,0,22,9,31,8.0,2002,Defense
22,Philadelphia Eagles,Levon Kirkland,0,0,0.00,0,0,0,55,21,76,0.0,2002,Defense
23,Philadelphia Eagles,Dorsey Levens,0,0,0.00,0,0,0,1,0,1,0.0,2002,Defense
24,Philadelphia Eagles,Chad Lewis,0,0,0.00,0,0,0,2,1,3,0.0,2002,Defense
25,Philadelphia Eagles,Michael Lewis,1,0,0.00,0,0,0,47,6,53,1.0,2002,Defense
26,Philadelphia Eagles,Cecil Martin,0,0,0.00,0,0,0,1,1,2,0.0,2002,Defense
27,Philadelphia Eagles,Brian Mitchell,0,0,0.00,0,0,0,6,0,6,0.0,2002,Defense
28,Philadelphia Eagles,Freddie Mitchell,0,0,0.00,0,0,0,4,0,4,0.0,2002,Defense
29,Philadelphia Eagles,Todd Pinkston,0,0,0.00,0,0,0,3,0,3,0.0,2002,Defense
30,Philadelphia Eagles,Ike Reese,0,0,0.00,0,0,0,45,9,54,1.5,2002,Defense
31,Philadelphia Eagles,Lito Sheppard,0,0,0.00,0,0,0,10,3,13,0.0,2002,Defense
32,Philadelphia Eagles,Corey Simon,0,0,0.00,0,0,0,33,7,40,2.0,2002,Defense
33,Philadelphia Eagles,Michael Sinclair,0,0,0.00,0,0,0,0,1,1,0.0,2002,Defense
34,Philadelphia Eagles,Jeremy Slechta,0,0,0.00,0,0,0,2,2,4,0.0,2002,Defense
35,Philadelphia Eagles,Duce Staley,0,0,0.00,0,0,0,0,1,1,0.0,2002,Defense
36,Philadelphia Eagles,Bobby Taylor,5,43,8.60,23t,23t,1,47,11,58,0.0,2002,Defense
37,Philadelphia Eagles,Jeff Thomason,0,0,0.00,0,0,0,10,1,11,0.0,2002,Defense
38,Philadelphia Eagles,James Thrash,0,0,0.00,0,0,0,2,0,2,0.0,2002,Defense
39,Philadelphia Eagles,Troy Vincent,2,1,0.50,1,1,0,55,12,67,0.0,2002,Defense
40,Philadelphia Eagles,Darwin Walker,0,0,0.00,0,0,0,29,6,35,7.5,2002,Defense
41,Philadelphia Eagles,John Welbourn,0,0,0.00,0,0,0,1,0,1,0.0,2002,Defense
42,Philadelphia Eagles,Brian Westbrook,0,0,0.00,0,0,0,4,2,6,0.0,2002,Defense
43,Philadelphia Eagles,Brandon Whiting,0,0,0.00,0,0,0,23,16,39,6.0,2002,Defense
0,Philadelphia Eagles,Keith Adams,0,0,0.00,0,0,0,17,2,19,0.0,2003,Defense
1,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,4,0,4,0.0,2003,Defense
2,Philadelphia Eagles,Mike Bartrum,0,0,0.00,0,0,0,3,0,3,0.0,2003,Defense
3,Philadelphia Eagles,Sheldon Brown,1,10,10.00,10,10,0,41,7,48,1.0,2003,Defense
4,Philadelphia Eagles,Daryon Brutley,0,0,0.00,0,0,0,0,1,1,0.0,2003,Defense
5,Philadelphia Eagles,Correll Buckhalter,0,0,0.00,0,0,0,4,0,4,0.0,2003,Defense
6,Philadelphia Eagles,Marco Coleman,0,0,0.00,0,0,0,11,2,13,0.5,2003,Defense
7,Philadelphia Eagles,Brian Dawkins,1,0,0.00,0,0,0,28,7,35,0.5,2003,Defense
8,Philadelphia Eagles,Kori Dickerson,0,0,0.00,0,0,0,3,0,3,0.0,2003,Defense
9,Philadelphia Eagles,Carlos Emmons,0,0,0.00,0,0,0,65,20,85,0.0,2003,Defense
10,Philadelphia Eagles,Justin Ena,0,0,0.00,0,0,0,10,2,12,0.0,2003,Defense
11,Philadelphia Eagles,Jim Flanigan,0,0,0.00,0,0,0,4,0,4,0.0,2003,Defense
12,Philadelphia Eagles,Hank Fraley,0,0,0.00,0,0,0,1,0,1,0.0,2003,Defense
13,Philadelphia Eagles,Paul Grasmanis,0,0,0.00,0,0,0,4,2,6,1.0,2003,Defense
14,Philadelphia Eagles,Tyreo Harrison,0,0,0.00,0,0,0,3,0,3,0.0,2003,Defense
15,Philadelphia Eagles,Clinton Hart,0,0,0.00,0,0,0,43,8,51,1.0,2003,Defense
16,Philadelphia Eagles,Roderick Hood,1,5,5.00,5,5,0,18,1,19,0.0,2003,Defense
17,Philadelphia Eagles,Dirk Johnson,0,0,0.00,0,0,0,1,0,1,0.0,2003,Defense
18,Philadelphia Eagles,Ndukwe Kalu,1,15,15.00,15t,15t,1,38,9,47,5.5,2003,Defense
19,Philadelphia Eagles,Greg Lewis,0,0,0.00,0,0,0,6,1,7,0.0,2003,Defense
20,Philadelphia Eagles,Michael Lewis,3,31,10.33,23,23,0,67,20,87,2.0,2003,Defense
21,Philadelphia Eagles,Jerome McDougle,0,0,0.00,0,0,0,6,4,10,0.0,2003,Defense
22,Philadelphia Eagles,Billy McMullen,0,0,0.00,0,0,0,1,0,1,0.0,2003,Defense
23,Philadelphia Eagles,Donovan McNabb,0,0,0.00,0,0,0,1,0,1,0.0,2003,Defense
24,Philadelphia Eagles,Quintin Mikell,0,0,0.00,0,0,0,10,1,11,0.0,2003,Defense
25,Philadelphia Eagles,Freddie Mitchell,0,0,0.00,0,0,0,1,0,1,0.0,2003,Defense
26,Philadelphia Eagles,Sean Morey,0,0,0.00,0,0,0,5,2,7,0.0,2003,Defense
27,Philadelphia Eagles,Sam Rayburn,0,0,0.00,0,0,0,9,0,9,2.0,2003,Defense
28,Philadelphia Eagles,Ike Reese,0,0,0.00,0,0,0,35,1,36,1.0,2003,Defense
29,Philadelphia Eagles,Jon Ritchie,0,0,0.00,0,0,0,4,0,4,0.0,2003,Defense
30,Philadelphia Eagles,Jon Runyan,0,0,0.00,0,0,0,1,0,1,0.0,2003,Defense
31,Philadelphia Eagles,Lito Sheppard,1,34,34.00,34,34,0,45,7,52,0.0,2003,Defense
32,Philadelphia Eagles,Corey Simon,0,0,0.00,0,0,0,32,8,40,7.5,2003,Defense
33,Philadelphia Eagles,Mark Simoneau,0,0,0.00,0,0,0,80,22,102,2.0,2003,Defense
34,Philadelphia Eagles,L.J. Smith,0,0,0.00,0,0,0,5,1,6,0.0,2003,Defense
35,Philadelphia Eagles,Duce Staley,0,0,0.00,0,0,0,3,0,3,0.0,2003,Defense
36,Philadelphia Eagles,Bobby Taylor,1,2,2.00,2,2,0,18,1,19,0.0,2003,Defense
37,Philadelphia Eagles,Hollis Thomas,0,0,0.00,0,0,0,13,6,19,0.0,2003,Defense
38,Philadelphia Eagles,James Thrash,0,0,0.00,0,0,0,2,0,2,0.0,2003,Defense
39,Philadelphia Eagles,Troy Vincent,3,28,9.33,28,28,0,49,8,57,0.0,2003,Defense
40,Philadelphia Eagles,Darwin Walker,0,0,0.00,0,0,0,36,6,42,6.0,2003,Defense
41,Philadelphia Eagles,Nate Wayne,1,33,33.00,33,33,0,69,21,90,3.0,2003,Defense
42,Philadelphia Eagles,Brian Westbrook,0,0,0.00,0,0,0,5,1,6,0.0,2003,Defense
43,Philadelphia Eagles,Brandon Whiting,0,0,0.00,0,0,0,32,13,45,2.0,2003,Defense
0,Philadelphia Eagles,Keith Adams,0,0,0.00,0,0,0,42,6,48,0.0,2004,Defense
1,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,1,0,1,0.0,2004,Defense
2,Philadelphia Eagles,Sheldon Brown,2,33,16.50,33,33,0,66,23,89,3.0,2004,Defense
3,Philadelphia Eagles,Derrick Burgess,0,0,0.00,0,0,0,19,5,24,2.5,2004,Defense
4,Philadelphia Eagles,Brian Dawkins,4,40,10.00,32,32,0,62,8,70,3.0,2004,Defense
5,Philadelphia Eagles,Hugh Douglas,0,0,0.00,0,0,0,15,0,15,3.0,2004,Defense
6,Philadelphia Eagles,Alonzo Ephraim,0,0,0.00,0,0,0,1,0,1,0.0,2004,Defense
7,Philadelphia Eagles,Hank Fraley,0,0,0.00,0,0,0,1,0,1,0.0,2004,Defense
8,Philadelphia Eagles,Paul Grasmanis,0,0,0.00,0,0,0,10,0,10,0.0,2004,Defense
9,Philadelphia Eagles,Jamaal Green,0,0,0.00,0,0,0,2,0,2,1.0,2004,Defense
10,Philadelphia Eagles,Roderick Hood,1,20,20.00,20,20,0,36,4,40,0.0,2004,Defense
11,Philadelphia Eagles,Dirk Johnson,0,0,0.00,0,0,0,1,0,1,0.0,2004,Defense
12,Philadelphia Eagles,Dhani Jones,1,0,0.00,0,0,0,49,23,72,0.5,2004,Defense
13,Philadelphia Eagles,Jevon Kearse,0,0,0.00,0,0,0,27,4,31,7.5,2004,Defense
14,Philadelphia Eagles,Mike Labinjo,0,0,0.00,0,0,0,12,0,12,0.0,2004,Defense
15,Philadelphia Eagles,Greg Lewis,0,0,0.00,0,0,0,8,1,9,0.0,2004,Defense
16,Philadelphia Eagles,Michael Lewis,1,0,0.00,0,0,0,76,14,90,0.0,2004,Defense
17,Philadelphia Eagles,Reno Mahe,0,0,0.00,0,0,0,2,1,3,0.0,2004,Defense
18,Philadelphia Eagles,Jerome McDougle,0,0,0.00,0,0,0,13,0,13,2.0,2004,Defense
19,Philadelphia Eagles,Donovan McNabb,0,0,0.00,0,0,0,5,0,5,0.0,2004,Defense
20,Philadelphia Eagles,Quintin Mikell,1,0,0.00,0,0,0,21,4,25,0.0,2004,Defense
21,Philadelphia Eagles,Freddie Mitchell,0,0,0.00,0,0,0,2,0,2,0.0,2004,Defense
22,Philadelphia Eagles,Terrell Owens,0,0,0.00,0,0,0,1,0,1,0.0,2004,Defense
23,Philadelphia Eagles,Josh Parry,0,0,0.00,0,0,0,1,0,1,0.0,2004,Defense
24,Philadelphia Eagles,Sam Rayburn,0,0,0.00,0,0,0,28,2,30,6.0,2004,Defense
25,Philadelphia Eagles,J.R. Reed,0,0,0.00,0,0,0,23,1,24,0.0,2004,Defense
26,Philadelphia Eagles,Ike Reese,2,22,11.00,15,15,0,45,8,53,1.0,2004,Defense
27,Philadelphia Eagles,Jon Runyan,0,0,0.00,0,0,0,2,0,2,0.0,2004,Defense
28,Philadelphia Eagles,Lito Sheppard,5,172,34.40,101t,101t,2,52,4,56,1.0,2004,Defense
29,Philadelphia Eagles,Jason Short,0,0,0.00,0,0,0,4,1,5,0.0,2004,Defense
30,Philadelphia Eagles,Corey Simon,0,0,0.00,0,0,0,26,6,32,5.5,2004,Defense
31,Philadelphia Eagles,Mark Simoneau,0,0,0.00,0,0,0,34,15,49,1.5,2004,Defense
