,Team,Player,Num,Yds,Avg,FC,Lg,TD,Season,Type
2,New England Patriots,Patrick Pass,7,123,17.57,0,28,0,2002,Kickoff Returns
3,New England Patriots,Marc Edwards,3,27,9.00,0,15,0,2002,Kickoff Returns
4,New England Patriots,J.R. Redmond,1,12,12.00,0,12,0,2002,Kickoff Returns
5,New England Patriots,Tedy Bruschi,1,11,11.00,0,11,0,2002,Kickoff Returns
6,New England Patriots,Jarvis Green,1,10,10.00,0,10,0,2002,Kickoff Returns
0,New England Patriots,Bethel Johnson,30,847,28.23,1,92t,1,2003,Kickoff Returns
1,New England Patriots,Patrick Pass,11,254,23.09,0,36,0,2003,Kickoff Returns
2,New England Patriots,Kevin Faulk,10,207,20.70,0,30,0,2003,Kickoff Returns
3,New England Patriots,Mike Cloud,2,38,19.00,0,19,0,2003,Kickoff Returns
4,New England Patriots,David Givens,2,31,15.50,0,20,0,2003,Kickoff Returns
5,New England Patriots,Mike Vrabel,2,22,11.00,0,14,0,2003,Kickoff Returns
6,New England Patriots,Dan Klecko,2,20,10.00,0,10,0,2003,Kickoff Returns
7,New England Patriots,Tedy Bruschi,1,9,9.00,0,9,0,2003,Kickoff Returns
0,New England Patriots,Bethel Johnson,41,"1,016",24.78,0,93t,1,2004,Kickoff Returns
1,New England Patriots,Patrick Pass,6,115,19.17,0,24,0,2004,Kickoff Returns
2,New England Patriots,Kevin Faulk,4,73,18.25,0,24,0,2004,Kickoff Returns
3,New England Patriots,Kevin Kasper,3,61,20.33,0,21,0,2004,Kickoff Returns
4,New England Patriots,Tully Banta-Cain,1,21,21.00,0,21,0,2004,Kickoff Returns
5,New England Patriots,David Patten,1,16,16.00,0,16,0,2004,Kickoff Returns
6,New England Patriots,Dan Klecko,0,0,0.00,1,0,0,2004,Kickoff Returns
0,New England Patriots,Bethel Johnson,31,694,22.39,0,54,0,2005,Kickoff Returns
1,New England Patriots,Ellis Hobbs,15,361,24.07,0,37,0,2005,Kickoff Returns
2,New England Patriots,Tim Dwight,10,250,25.00,0,38,0,2005,Kickoff Returns
3,New England Patriots,Andre' Davis,3,108,36.00,0,65,0,2005,Kickoff Returns
4,New England Patriots,Kevin Faulk,4,81,20.25,0,26,0,2005,Kickoff Returns
5,New England Patriots,Patrick Pass,2,31,15.50,0,21,0,2005,Kickoff Returns
6,New England Patriots,Mike Cloud,1,15,15.00,0,15,0,2005,Kickoff Returns
7,New England Patriots,Tully Banta-Cain,1,14,14.00,0,14,0,2005,Kickoff Returns
8,New England Patriots,Benjamin Watson,1,1,1.00,0,1,0,2005,Kickoff Returns
