,Team,Player,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts,Season,Type
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,45/45,33/40,0,0,144,2008,Scoring
1,Philadelphia Eagles,Brian Westbrook,14,9,5,0,0,0,0,0,0,0,0/0,0/0,0,0,84,2008,Scoring
2,Philadelphia Eagles,Correll Buckhalter,4,2,2,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2008,Scoring
3,Philadelphia Eagles,DeSean Jackson,4,1,2,0,1,0,0,0,0,0,0/0,0/0,0,0,24,2008,Scoring
4,Philadelphia Eagles,Hank Baskett,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2008,Scoring
5,Philadelphia Eagles,L.J. Smith,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2008,Scoring
6,Philadelphia Eagles,Donovan McNabb,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2008,Scoring
7,Philadelphia Eagles,Kevin Curtis,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2008,Scoring
8,Philadelphia Eagles,Jason Avant,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2008,Scoring
9,Philadelphia Eagles,Chris Gocong,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2008,Scoring
10,Philadelphia Eagles,Tony Hunt,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2008,Scoring
11,Philadelphia Eagles,Juqua Parker,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2008,Scoring
12,Philadelphia Eagles,Chris Clemons,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2008,Scoring
13,Philadelphia Eagles,Brent Celek,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2008,Scoring
14,Philadelphia Eagles,Asante Samuel,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2008,Scoring
15,Philadelphia Eagles,Greg Lewis,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2008,Scoring
16,Philadelphia Eagles,Quintin Demps,1,0,0,1,0,0,0,0,0,0,0/0,0/0,0,0,6,2008,Scoring
17,Philadelphia Eagles,Todd Herremans,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2008,Scoring
18,Philadelphia Eagles,Reggie Brown,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2008,Scoring
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,43/45,32/37,0,0,139,2009,Scoring
1,Philadelphia Eagles,DeSean Jackson,12,1,9,0,2,0,0,0,0,0,0/0,0/0,0,0,72,2009,Scoring
2,Philadelphia Eagles,Brent Celek,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,48,2009,Scoring
3,Philadelphia Eagles,LeSean McCoy,4,4,0,0,0,0,0,0,0,0,0/0,0/0,1,0,26,2009,Scoring
4,Philadelphia Eagles,Leonard Weaver,4,2,2,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2009,Scoring
5,Philadelphia Eagles,Jeremy Maclin,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2009,Scoring
6,Philadelphia Eagles,Jason Avant,3,0,3,0,0,0,0,0,0,0,0/0,0/0,1,0,20,2009,Scoring
7,Philadelphia Eagles,Donovan McNabb,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2009,Scoring
8,Philadelphia Eagles,Brian Westbrook,2,1,1,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2009,Scoring
9,Philadelphia Eagles,Sheldon Brown,2,0,0,0,0,1,1,0,0,0,0/0,0/0,0,0,12,2009,Scoring
10,Philadelphia Eagles,Michael Vick,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2009,Scoring
11,Philadelphia Eagles,Kevin Kolb,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2009,Scoring
12,Philadelphia Eagles,Will Witherspoon,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2009,Scoring
13,Philadelphia Eagles,Eldra Buckley,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2009,Scoring
14,Philadelphia Eagles,Victor Abiamiri,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2009,Scoring
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,47/47,32/38,0,0,143,2010,Scoring
1,Philadelphia Eagles,Jeremy Maclin,10,0,10,0,0,0,0,0,0,0,0/0,0/0,0,0,60,2010,Scoring
2,Philadelphia Eagles,LeSean McCoy,9,7,2,0,0,0,0,0,0,0,0/0,0/0,0,0,54,2010,Scoring
3,Philadelphia Eagles,Michael Vick,9,9,0,0,0,0,0,0,0,0,0/0,0/0,0,0,54,2010,Scoring
4,Philadelphia Eagles,DeSean Jackson,8,1,6,0,1,0,0,0,0,0,0/0,0/0,0,0,48,2010,Scoring
5,Philadelphia Eagles,Brent Celek,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2010,Scoring
6,Philadelphia Eagles,Jason Avant,1,0,1,0,0,0,0,0,0,0,0/0,0/0,1,0,8,2010,Scoring
7,Philadelphia Eagles,Quintin Mikell,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2010,Scoring
8,Philadelphia Eagles,Riley Cooper,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
9,Philadelphia Eagles,Jerome Harrison,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
10,Philadelphia Eagles,Dimitri Patterson,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
11,Philadelphia Eagles,Owen Schmitt,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
12,Philadelphia Eagles,Todd Herremans,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
13,Philadelphia Eagles,Clay Harbor,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
14,Philadelphia Eagles,Chad Hall,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
0,Philadelphia Eagles,LeSean McCoy,20,17,3,0,0,0,0,0,0,0,0/0,0/0,0,0,120,2011,Scoring
1,Philadelphia Eagles,Alex Henery,0,0,0,0,0,0,0,0,0,0,46/46,24/27,0,0,118,2011,Scoring
2,Philadelphia Eagles,Jeremy Maclin,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2011,Scoring
3,Philadelphia Eagles,Brent Celek,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2011,Scoring
4,Philadelphia Eagles,DeSean Jackson,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2011,Scoring
5,Philadelphia Eagles,Juqua Parker,2,0,0,0,0,0,2,0,0,0,0/0,0/0,0,0,12,2011,Scoring
6,Philadelphia Eagles,Michael Vick,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
7,Philadelphia Eagles,Clay Harbor,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
8,Philadelphia Eagles,Brian Rolle,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2011,Scoring
9,Philadelphia Eagles,Ronnie Brown,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
10,Philadelphia Eagles,Asante Samuel,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
11,Philadelphia Eagles,Steve Smith,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
12,Philadelphia Eagles,Riley Cooper,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
13,Philadelphia Eagles,Jason Avant,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
14,Philadelphia Eagles,Chad Hall,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
15,Philadelphia Eagles,Dion Lewis,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
16,Philadelphia Eagles,Phillip Hunt,0,0,0,0,0,0,0,0,0,0,0/0,0/0,0,1,2,2011,Scoring
0,Philadelphia Eagles,Alex Henery,0,0,0,0,0,0,0,0,0,0,25/26,27/31,0,0,106,2012,Scoring
1,Philadelphia Eagles,Jeremy Maclin,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2012,Scoring
2,Philadelphia Eagles,LeSean McCoy,5,2,3,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2012,Scoring
3,Philadelphia Eagles,Bryce Brown,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2012,Scoring
4,Philadelphia Eagles,Riley Cooper,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2012,Scoring
5,Philadelphia Eagles,Clay Harbor,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2012,Scoring
6,Philadelphia Eagles,DeSean Jackson,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2012,Scoring
7,Philadelphia Eagles,Michael Vick,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2012,Scoring
8,Philadelphia Eagles,Brent Celek,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2012,Scoring
9,Philadelphia Eagles,Nick Foles,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2012,Scoring
10,Philadelphia Eagles,Stanley Havili,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2012,Scoring
11,Philadelphia Eagles,Damaris Johnson,1,0,0,0,1,0,0,0,0,0,0/0,0/0,0,0,6,2012,Scoring
0,Philadelphia Eagles,Alex Henery,0,0,0,0,0,0,0,0,0,0,45/45,23/28,0,0,114,2013,Scoring
1,Philadelphia Eagles,LeSean McCoy,11,9,2,0,0,0,0,0,0,0,0/0,0/0,0,0,66,2013,Scoring
2,Philadelphia Eagles,DeSean Jackson,9,0,9,0,0,0,0,0,0,0,0/0,0/0,0,0,54,2013,Scoring
3,Philadelphia Eagles,Riley Cooper,8,0,8,0,0,0,0,0,0,0,0/0,0/0,2,0,52,2013,Scoring
4,Philadelphia Eagles,Brent Celek,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2013,Scoring
5,Philadelphia Eagles,Zach Ertz,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2013,Scoring
6,Philadelphia Eagles,Nick Foles,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2013,Scoring
7,Philadelphia Eagles,Chris Polk,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2013,Scoring
